Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],py
0.1,126.0,0.834744,3.5,0.3,0.0,7200.0,2071.76,0.180339,0.031847,0.0,0.837999,0.662592,11.37,1144.5888,4.061,2.8562,12.943063,9.499769,9.019479,
0.01,1.0,0.991246,3.5,2.1,0.3,1021.82,3397.31,0.600253,0.999942,0.00075,0.999882,0.035187,19.41,43.6069,4.8223,2.8204,0.035187,0.004672,0.0,
0.01,2.0,0.99036,0.1,1.3,7200.0,1345.23,3311.12,0.599749,0.999434,0.0,0.999877,0.144018,11.9,53.2485,4.818,2.8207,0.121861,0.060446,0.051115,
0.1,3.0,0.97467,2.4,3.2,1.4,539.07,2236.26,0.989596,0.974216,0.999902,0.999742,0.327054,23.84,62.7437,4.7417,2.8211,0.290247,0.181225,0.16742,
0.1,4.0,0.972982,1.6,3.1,31.83,550.7,2236.46,0.988333,0.971122,0.999851,0.99972,0.332601,23.74,72.2231,4.7335,2.8215,0.444118,0.291608,0.273345,
0.02,5.0,0.983924,0.4,2.0,1800.0,690.73,3093.31,0.59629,0.990808,0.0,0.999833,0.277134,15.31,81.8045,4.7867,2.8218,0.56308,0.376584,0.353734,
0.05,6.0,0.975585,1.3,3.9,248.98,15.4,2957.9,0.596644,8.3e-05,0.991651,0.999753,0.947637,21.83,91.3207,4.7461,2.8226,0.912381,0.629328,0.601998,
0.05,7.0,0.974688,2.7,1.5,0.37,1440.0,2665.69,0.60306,0.990833,0.016947,0.999742,0.277003,17.39,100.8135,4.7418,2.8229,1.006683,0.696568,0.664754,
0.01,8.0,0.979257,1.5,2.1,52.72,951.8,3426.62,0.591773,0.978868,0.000667,0.999792,0.317351,17.98,110.3493,4.764,2.8231,1.109736,0.770228,0.733859,
0.02,9.0,0.97678,0.5,1.6,1440.0,969.08,3040.28,0.591529,0.978938,0.0,0.999766,0.31719,15.11,119.8598,4.7519,2.8234,1.208521,0.840813,0.799927,
0.05,10.0,0.970282,1.8,3.3,13.11,488.55,2608.86,0.631776,0.082346,0.997254,0.999682,0.614804,23.06,129.3113,4.7203,2.8238,1.386115,0.968947,0.923621,
0.02,11.0,0.972922,2.0,3.2,6.26,519.19,3066.7,0.579214,0.201951,0.746225,0.99972,0.565436,21.22,138.7871,4.7332,2.8242,1.539747,1.079701,1.029893,
0.1,12.0,0.959741,2.0,2.3,6.17,858.35,2229.17,0.977418,0.946127,0.997678,0.999477,0.363535,21.24,148.1328,4.6691,2.8245,1.63539,1.148305,1.094169,
0.1,13.0,0.958509,1.7,2.9,18.12,601.19,2228.92,0.879304,0.698737,0.9998,0.999446,0.459939,23.1,157.4678,4.6631,2.8248,1.751164,1.23168,1.173221,
0.1,14.0,0.956906,4.0,3.2,0.0,520.06,2226.04,0.638612,0.096902,0.999928,0.999402,0.606292,24.59,166.7884,4.6553,2.8251,1.896214,1.336481,1.27372,
0.05,15.0,0.964413,3.4,0.2,0.0,10800.0,2663.95,0.591421,0.978762,0.0,0.999581,0.317595,10.88,176.1915,4.6918,2.8253,1.971346,1.390224,1.323115,
0.1,16.0,0.954256,3.9,3.3,0.0,487.2,2228.03,0.602549,0.006764,0.999947,0.999322,0.737588,25.04,185.4877,4.6424,2.8258,2.134886,1.508585,1.437207,
